DATAS,NUMEROS
30-MAR-22,11767
31-MAR-22,12277
01-APR-22,9915
02-APR-22,6222
04-APR-22,10170
05-APR-22,10532
06-APR-22,10533
07-APR-22,9501
08-APR-22,8275
09-APR-22,5002
11-APR-22,7650
12-APR-22,9440
13-APR-22,7561
14-APR-22,2004
17-APR-22,7
18-APR-22,6498
19-APR-22,6173
20-APR-22,6326
21-APR-22,2841
23-APR-22,1
24-APR-22,1
25-APR-22,8432
26-APR-22,8230
27-APR-22,8576
28-APR-22,7819
29-APR-22,10336
30-APR-22,81
01-MAY-22,13
02-MAY-22,9953
03-MAY-22,10177
04-MAY-22,7763
05-MAY-22,8519
06-MAY-22,7105
07-MAY-22,4
09-MAY-22,4957
10-MAY-22,6194
11-MAY-22,5812
12-MAY-22,8806
13-MAY-22,9174
15-MAY-22,4
16-MAY-22,10131
17-MAY-22,9655
18-MAY-22,12498
19-MAY-22,8559
20-MAY-22,10386
21-MAY-22,6
23-MAY-22,9197
24-MAY-22,8468
25-MAY-22,9077
26-MAY-22,9830
27-MAY-22,7918
28-MAY-22,9
29-MAY-22,1
30-MAY-22,7375
31-MAY-22,8214
01-JUN-22,7415
02-JUN-22,6911
03-JUN-22,9536
04-JUN-22,17
05-JUN-22,11
06-JUN-22,10704
07-JUN-22,13661
08-JUN-22,15742
09-JUN-22,13583
10-JUN-22,26574
11-JUN-22,23934
13-JUN-22,23602
14-JUN-22,24051
15-JUN-22,24104
16-JUN-22,5
17-JUN-22,3
18-JUN-22,18
19-JUN-22,7
20-JUN-22,23290
21-JUN-22,20528
22-JUN-22,21994
23-JUN-22,5
24-JUN-22,4
25-JUN-22,1
26-JUN-22,8
27-JUN-22,19094
28-JUN-22,19183
29-JUN-22,21246
30-JUN-22,18337
01-JUL-22,19116
02-JUL-22,12
03-JUL-22,20
04-JUL-22,19904
05-JUL-22,21320
06-JUL-22,21609
07-JUL-22,18913
08-JUL-22,19335
09-JUL-22,9
10-JUL-22,2
11-JUL-22,19024
12-JUL-22,21334
13-JUL-22,23136
14-JUL-22,19809
15-JUL-22,18296
16-JUL-22,2
17-JUL-22,1
18-JUL-22,15657
19-JUL-22,18289
20-JUL-22,16264
21-JUL-22,14596
22-JUL-22,14236
23-JUL-22,12
24-JUL-22,13
25-JUL-22,12616
26-JUL-22,18907
27-JUL-22,17738
28-JUL-22,14868
29-JUL-22,13625
30-JUL-22,181
01-AUG-22,12695
02-AUG-22,16296
03-AUG-22,14888
04-AUG-22,13553
05-AUG-22,12497
06-AUG-22,185
08-AUG-22,11921
09-AUG-22,11569
10-AUG-22,11778
11-AUG-22,10114
12-AUG-22,9015
13-AUG-22,115
15-AUG-22,8867
16-AUG-22,14086
17-AUG-22,13163
18-AUG-22,11559
19-AUG-22,11037
20-AUG-22,546
22-AUG-22,9309
23-AUG-22,9658
24-AUG-22,9621
25-AUG-22,8811
26-AUG-22,8097
27-AUG-22,102
28-AUG-22,1
29-AUG-22,8105
30-AUG-22,6789
31-AUG-22,6479
01-SEP-22,4943
02-SEP-22,5502
03-SEP-22,287
05-SEP-22,6120
06-SEP-22,5785
07-SEP-22,2
08-SEP-22,4809
09-SEP-22,4747
10-SEP-22,200
11-SEP-22,5
12-SEP-22,5738
13-SEP-22,5987
14-SEP-22,5775
15-SEP-22,4866
16-SEP-22,4796
17-SEP-22,129
19-SEP-22,4329
20-SEP-22,5185
21-SEP-22,1290
22-SEP-22,4515
23-SEP-22,4216
24-SEP-22,284
26-SEP-22,4156
27-SEP-22,4217
28-SEP-22,4445
29-SEP-22,3873
30-SEP-22,4002
01-OCT-22,1
03-OCT-22,2519
04-OCT-22,2741
05-OCT-22,1721
06-OCT-22,2449
07-OCT-22,2619
08-OCT-22,6
10-OCT-22,2324
11-OCT-22,2258
12-OCT-22,1
13-OCT-22,2119
14-OCT-22,2434
15-OCT-22,55
16-OCT-22,3
17-OCT-22,2732
18-OCT-22,2512
19-OCT-22,2204
20-OCT-22,2245
21-OCT-22,2020
22-OCT-22,27
24-OCT-22,2004
25-OCT-22,1679
26-OCT-22,1978
27-OCT-22,1673
28-OCT-22,36
29-OCT-22,1
31-OCT-22,1583
01-NOV-22,1696
03-NOV-22,1230
04-NOV-22,1220
05-NOV-22,59
07-NOV-22,1855
08-NOV-22,2414
09-NOV-22,3161
10-NOV-22,3487
11-NOV-22,4267
12-NOV-22,2
14-NOV-22,10
16-NOV-22,6396
17-NOV-22,8752
18-NOV-22,9240
19-NOV-22,10787
21-NOV-22,9853
22-NOV-22,11519
23-NOV-22,10610
24-NOV-22,4137
25-NOV-22,6671
26-NOV-22,6260
27-NOV-22,1
28-NOV-22,3655
29-NOV-22,12337
30-NOV-22,13858
01-DEC-22,10441
02-DEC-22,4284
03-DEC-22,7292
04-DEC-22,7
05-DEC-22,4474
06-DEC-22,8851
07-DEC-22,8543
08-DEC-22,2
09-DEC-22,2269
10-DEC-22,5003
12-DEC-22,7305
13-DEC-22,7256
14-DEC-22,6592
15-DEC-22,5342
16-DEC-22,5161
17-DEC-22,3151
19-DEC-22,5988
20-DEC-22,4948
21-DEC-22,5296
22-DEC-22,3981
